l1=2, l2=8, l3=5, acc: 65.62%
l1=2, l2=8, l3=6, acc: 65.10%
l1=2, l2=8, l3=7, acc: 76.04%
l1=2, l2=8, l3=8, acc: 65.10%
l1=2, l2=8, l3=9, acc: 65.10%
l1=2, l2=9, l3=1, acc: 65.10%
l1=2, l2=9, l3=2, acc: 65.49%
l1=2, l2=9, l3=3, acc: 65.10%
l1=2, l2=9, l3=4, acc: 65.10%
l1=2, l2=9, l3=5, acc: 66.28%
l1=2, l2=9, l3=6, acc: 65.10%
l1=2, l2=9, l3=7, acc: 65.23%
l1=2, l2=9, l3=8, acc: 65.10%
l1=2, l2=9, l3=9, acc: 65.89%
l1=3, l2=1, l3=1, acc: 65.10%
l1=3, l2=1, l3=2, acc: 65.10%
l1=3, l2=1, l3=3, acc: 65.10%
l1=3, l2=1, l3=4, acc: 65.10%
l1=3, l2=1, l3=5, acc: 65.10%
l1=3, l2=1, l3=6, acc: 65.10%
l1=3, l2=1, l3=7, acc: 66.67%
l1=3, l2=1, l3=8, acc: 65.10%
l1=3, l2=1, l3=9, acc: 65.10%
l1=3, l2=2, l3=1, acc: 65.10%
l1=3, l2=2, l3=2, acc: 34.90%
l1=3, l2=2, l3=3, acc: 65.10%
l1=3, l2=2, l3=4, acc: 65.89%
l1=3, l2=2, l3=5, acc: 65.36%
l1=3, l2=2, l3=6, acc: 65.10%
l1=3, l2=2, l3=7, acc: 65.10%
l1=3, l2=2, l3=8, acc: 65.23%
l1=3, l2=2, l3=9, acc: 65.23%
l1=3, l2=3, l3=1, acc: 65.10%
l1=3, l2=3, l3=2, acc: 67.97%
l1=3, l2=3, l3=3, acc: 66.67%
l1=3, l2=3, l3=4, acc: 75.91%
l1=3, l2=3, l3=5, acc: 65.23%
l1=3, l2=3, l3=6, acc: 65.10%
l1=3, l2=3, l3=7, acc: 74.09%
l1=3, l2=3, l3=8, acc: 66.15%
l1=3, l2=3, l3=9, acc: 65.10%
l1=3, l2=4, l3=1, acc: 65.10%
l1=3, l2=4, l3=2, acc: 66.41%
l1=3, l2=4, l3=3, acc: 73.57%
l1=3, l2=4, l3=4, acc: 65.10%
l1=3, l2=4, l3=5, acc: 72.14%
l1=3, l2=4, l3=6, acc: 73.96%
l1=3, l2=4, l3=7, acc: 75.26%
l1=3, l2=4, l3=8, acc: 65.49%
l1=3, l2=4, l3=9, acc: 65.23%
l1=3, l2=5, l3=1, acc: 69.14%
l1=3, l2=5, l3=2, acc: 65.23%
l1=3, l2=5, l3=3, acc: 65.23%
l1=3, l2=5, l3=4, acc: 72.53%
l1=3, l2=5, l3=5, acc: 73.83%
l1=3, l2=5, l3=6, acc: 72.27%
l1=3, l2=5, l3=7, acc: 66.28%
l1=3, l2=5, l3=8, acc: 72.01%
l1=3, l2=5, l3=9, acc: 64.19%
l1=3, l2=6, l3=1, acc: 65.10%
l1=3, l2=6, l3=2, acc: 65.10%
l1=3, l2=6, l3=3, acc: 65.89%
l1=3, l2=6, l3=4, acc: 73.57%
l1=3, l2=6, l3=5, acc: 65.10%
l1=3, l2=6, l3=6, acc: 65.62%
l1=3, l2=6, l3=7, acc: 68.49%
l1=3, l2=6, l3=8, acc: 69.01%
l1=3, l2=6, l3=9, acc: 72.92%
l1=3, l2=7, l3=1, acc: 65.10%
l1=3, l2=7, l3=2, acc: 65.10%
l1=3, l2=7, l3=3, acc: 65.23%
l1=3, l2=7, l3=4, acc: 68.36%
l1=3, l2=7, l3=5, acc: 76.30%
l1=3, l2=7, l3=6, acc: 73.44%
l1=3, l2=7, l3=7, acc: 76.43%
